Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.34      1.48     0.01    30375     0.00     0.00  bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.34      1.49     0.01    17202     0.00     0.00  __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::max_size() const
  0.34      1.49     0.01                             std::vector<int, std::allocator<int> >::_M_erase_at_end(int*)
  0.00      1.49     0.00  7847272     0.00     0.00  bool std::__lc_rai<std::random_access_iterator_tag, std::random_access_iterator_tag>::__cnd2<int const*>(int const*, int const*)
  0.00      1.49     0.00  5733721     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.49     0.00  5401875     0.00     0.00  __gnu_cxx::__aligned_membuf<std::array<int, 2ul> >::_M_ptr() const
  0.00      1.49     0.00  5401875     0.00     0.00  __gnu_cxx::__aligned_membuf<std::array<int, 2ul> >::_M_addr() const
  0.00      1.49     0.00  5354645     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      1.49     0.00  5252741     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00      1.49     0.00  5252741     0.00     0.00  std::less<std::array<int, 2ul> >::operator()(std::array<int, 2ul> const&, std::array<int, 2ul> const&) const
  0.00      1.49     0.00  5252741     0.00     0.00  int const* std::__lc_rai<std::random_access_iterator_tag, std::random_access_iterator_tag>::__newlast1<int const*, int const*>(int const*, int const*, int const*, int const*)
  0.00      1.49     0.00  5252741     0.00     0.00  bool std::lexicographical_compare<int const*, int const*>(int const*, int const*, int const*, int const*)
  0.00      1.49     0.00  4979900     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      1.49     0.00  4979900     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      1.49     0.00  4794375     0.00     0.00  std::_Identity<std::array<int, 2ul> >::operator()(std::array<int, 2ul> const&) const
  0.00      1.49     0.00  4586625     0.00     0.00  std::array<int, 2ul>&& std::forward<std::array<int, 2ul> >(std::remove_reference<std::array<int, 2ul> >::type&)
  0.00      1.49     0.00  3882092     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      1.49     0.00  3027570     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      1.49     0.00  3027570     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      1.49     0.00  3027570     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      1.49     0.00  3027570     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      1.49     0.00  2962270     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      1.49     0.00  2962270     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      1.49     0.00  2962270     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      1.49     0.00  2962270     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      1.49     0.00  2962270     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      1.49     0.00  2551500     0.00     0.00  std::_Rb_tree<std::array<int, 2ul>, std::array<int, 2ul>, std::_Identity<std::array<int, 2ul> >, std::less<std::array<int, 2ul> >, std::allocator<std::array<int, 2ul> > >::_M_get_Node_allocator()
